Lang,Text
eng,"Eighty percent of Tom's vocabulary consists of snarl words like ""social justice warrior"" and ""triggered."""
eng,Tom believes the philosophy of Ayn Rand is truly objective.
eng,"If God really existed, it would be necessary to abolish him."
eng,We are women.
eng,Women are people.
eng,Both nocebo and placebo effects are presumably psychogenic.
eng,"His Noodliness, the Flying Spaghetti Monster is the ultimate truth in the universe."
eng,There was no sex in the Soviet Union.
eng,Trigonometry studies relationships involving lengths and angles of triangles.
eng,Are you English?
eng,Are you Ukrainian?
eng,Antananarivo is the capital of Madagascar.
eng,Philosophers distinguish between a priori and a posteriori knowledge.
eng,Catfish have no scales.
eng,How much is it in dollars?
eng,"Mary's tattoo reads, ""No gods, no masters!"""
eng,"In the matter of boots, I refer to the authority of the bootmaker."
eng,"Work and pray, live on hay; you'll get pie in the sky when you die."
eng,You'll get pie in the sky when you die – that's a lie.
eng,The workers have no country.
eng,Mary's dreams were finally materializing.
eng,The inherent difficulty of quantifying prosperity complicates the question of which countries are most prosperous.
eng,"No, I am not an escort."
eng,"What seems to be the problem, officer?"
eng,Authority corrupts its holder and debases its victims.
eng,The socialist insurgency expropriated the Apostolic Palace.
eng,It's a shame the way he internalizes homophobia.
eng,Mary's sparring partner had a seizure.
eng,Every good fighter needs a sparring partner.
eng,The insurgency was widely condemned in state-controlled mass media outlets.
eng,Occupying powers never consider an insurgency's cause to be valid.
eng,Collateral damage is a euphemism for killing innocent people to protect capital.
eng,How much is a pack of cigarettes?
eng,"I'm not racist, but I vote for racist politicians with racist policy plans."
eng,"I'm not homophobic, but I have no problem with electroshock therapy for gay people."
eng,I got mine; fuck you.
eng,Tom claims he's not racist but just politically incorrect.
eng,"It does not necessarily get better, but it can if we make it."
eng,The inmates have taken over the asylum.
eng,We believe that Pirates were the original Pastafarians and that they were peaceful explorers.
eng,The only good fascist is a dead fascist.
eng,Classical liberalism deifies abstractions and objectifies humans.
eng,Fascists are enabled by liberals' preference for abstractions over people.
eng,"If someone victimizes LGBT people, their own LGBT status does not justify their actions."
eng,Beware of anyone who claims objectivity.
eng,Fascism is a social pathology to be eradicated at all costs.
eng,Some commentators have observed that we are living in a post-truth age.
eng,There are thousands of Pastafarians in Ukraine.
eng,"Donald Trump is the living reductio ad absurdum of the decades-long debate over ""political correctness."""
eng,Tom is a chauvinist.
eng,Salo is the Ukrainian cured pork fat and is the ultimate national food of Ukraine.
eng,We're not buying those jeans. It's throwing good money after bad!
eng,My friends think Pastafarianism is a joke.
eng,"Peppa Pig is four years old, and George is eighteen months old."
eng,The Wise Old Elf lives in the same tree as Ben in room ninety-eight.
eng,"Peppa Pig is a pleasant, light-hearted and fun programme for kids to watch."
eng,She's madly in love with her.
eng,He's madly in love with him.
eng,My son is an Aspie.
eng,"Science builds planes and skyscrapers, but faith brings them together."
eng,Science flies you to the moon. Religion flies you into buildings.
eng,He is a mutton-headed old mugwump.
eng,"To add insult to injury, she just found out she is pregnant."
eng,Slowly but surely English is losing importance in Europe.
eng,Tom is going for broke.
eng,Felicity was born an adorable kitten and grew up to be an adorable cat.
eng,"Tom's cat Felicity is skittish, but once you've befriended her, she won't leave you alone."
eng,The Nazis were as socialist as North Korea is democratic.
eng,The Nazis were as socialist as the Holy Roman Empire was Roman.
eng,Tom and Mary are anti-fascists.
eng,Tom is an anti-fascist.
eng,Mary is an anti-fascist.
eng,Tom doesn't want to spend the rest of his career in middle management.
eng,Mary is a whiz kid.
eng,"Excuse me, what's the soup du jour?"
eng,I'll have the soup du jour.
eng,Tom is studying to become a physician's assistant.
eng,Mary is studying to become a physician's assistant.
eng,Tom has to perform elaborate rituals to alleviate his fear of spontaneous combustion.
eng,Tom's plans failed to materialize.
eng,"He's dead as a doornail, Tom."
eng,A queer person is not a conversation piece.
eng,Tom ordered an open-faced sandwich with a side of fries.
eng,I thought the brass section was a little off.
eng,Mary was treated for deep vein thrombosis when she was pregnant with her second child.
eng,"Tom doesn't play a real instrument, but he does play a mean air guitar."
eng,This new and improved coffee maker will revolutionize the way you start your morning.
eng,Tom is an ambulance chaser.
eng,The American director made an homage to spaghetti western films.
eng,"Quit being a putz, Tom."
eng,"You don't have to digitize everything, Tom."
eng,Poor sanitation practices rendered Europe helpless against the Black Death.
eng,Mary walks to the beat of her own drum.
eng,"Don't normalize reactionary extremists by calling them ""conservatives."""
eng,Mary cannot have children.
eng,"Tom was the one who broke the window. ""It figures. He's very careless."""
eng,The best way to get rid of an earworm is to replace it with another.
eng,All cats are beautiful.
eng,All cops are bastards.
eng,The dictator distracted the populace by tricking them into victimizing marginalized people.
eng,Tom escapes from his increasingly oppressive life by victimizing people worse off than him.
eng,Tom's dead as a doornail.
eng,"Transgender people are human beings, not conversation pieces."
eng,Someone else's life is not a conversation piece.
eng,Mary suffered deep vein thrombosis while she was pregnant.
eng,"Isn't that a spaghetti western, Tom?"
eng,"The Good, the Bad and the Ugly is my favorite spaghetti western."
eng,"What's a spaghetti western, Tom?"
eng,The value of Tom's work was promptly redistributed to the shareholders.
eng,Tom digitizes cookbooks for a living.
eng,Dial 411 for directory assistance.
eng,Mary's at the shooting gallery with Jeanette.
eng,"In times of great need, pet a cat."
eng,Is that a mural of the building it's painted on?
eng,You can't reanimate the dead.
eng,Be careful not to inhale the spores; they're deadly.
eng,Resources everyone uses should be community property. Personal items can continue to be personal property.
eng,The absentee landlord requires a state to enforce his claims to the property.
eng,Boris asked me to give this to you.
eng,Tom's eaten the majority of his pizza.
eng,What a stupid little twerp.
eng,A man walks into a bar...
eng,Palestine has the indisputable right to defend its territory.
eng,Tom is a Pastafarian.
eng,Tom believes heaven has a beer volcano and a factory producing strippers.
eng,Tom independently cut out and ordered the pictures.
eng,Tom was diagnosed with autism when he was three years old.
eng,The guillotine may not be perfect but it's the best system we have.
eng,I didn't know that was a thing.
eng,Queer all languages!
eng,All power to the syndicates!
eng,A billion international auxiliary languages is never enough.
eng,Twenty minutes later a little girl came traipsing along.
eng,It got better!
eng,Mary's cat always has to have whatever Tom's cat is having.
eng,"I'm a vegan, but my cat isn't."
eng,All belongs to all.
eng,The dictator accused Tom of treason for not applauding him.
eng,Death is a general anaesthetic to spare you from eternity.
eng,Fuck your opinion.
eng,What does a cow say?
eng,Tom doesn't believe in astrology.
eng,Tom's a cokehead.
eng,I had no idea Tom was gay.
eng,That's my car? Why did I feel like I'd never seen it before?
eng,You're a good cat.
eng,"Mary can defend herself, Tom."
eng,"I can defend myself, Tom."
eng,I'm just asking questions.
eng,"We care about you, Tom."
eng,"When the people have nothing more to eat, they will eat the rich."
eng,Tom isn't willing to tell the truth.
eng,Tom is afraid to tell the truth.
eng,Tom is ready to tell the truth.
eng,Tom isn't ready to tell the truth.
eng,The user must explicitly enter a value into this field.
eng,"I hope we won't be late. ""Fingers crossed!"""
eng,I could fall asleep in this chair.
eng,Mary has generalized anxiety disorder.
eng,"Since you mention it, I really would like to see the ruins of Persepolis."
eng,"I'm going to have my own party, and you're not invited!"
eng,Tom and Mary are polyamorous.
eng,"Tom, Mary, and Alex are in a polyamorous relationship."
eng,Gender violence goes hand-in-hand with authoritarianism.
eng,Gender violence and authoritarianism go hand-in-hand.
eng,Strict and inviolable gender roles have been fundamental to authoritarian regimes throughout history.
eng,Inviolable gender roles are a form of authoritarianism.
eng,Cathy is a fake goth.
eng,I can eat glass; it does not hurt me.
eng,Mary never thought she would be this happy.
eng,Guerrilla gardening is gardening on another person's land without permission.
eng,We gave Tom the apple.
eng,Tom gives it to John.
eng,Mary gives it to Tom.
eng,Mary will give it to Tom.
eng,Tom has given it to John.
eng,I want to give it to Mary.
eng,These crisps are very moreish.
eng,"Well, it's horses for courses, isn't it?"
eng,The aliens' upper arms are ridgy.
eng,Mary is on a 100-day Duolingo streak.
eng,Tom's feeling a bit off colour.
eng,Tom claims to have seen a plesiosaur in the lake.
eng,You're entitled to your own opinion but not your own facts.
eng,Benjamin Netanyahu is widely despised by American Jews.
eng,Anarchists believe society can function by mutual aid.
eng,Tatoeba is an example of mutual aid.
eng,Matza balls are my heritage; falafels are not.
eng,I don't like fireworks.
eng,Israeli military courts have a 99.74% conviction rate.
eng,Tom is dope sick.
eng,Felix left a hairball in my shoe.
fra,"Le premier instrument du génie d'un peuple, c'est sa langue."
eng,Publish or perish.
eng,The websites of some predatory publishers look credible.
eng,I am a post-operative transsexual woman.
deu,"Kollaborative Plattformen werden gemacht, um Freundschaften zu pflegen."
deu,Wer würde einen Freund wirklich hart anpacken?
deu,Wollen Sie zusammen spazieren gehen?
eng,I think Mary is a bit of a Pollyanna.
eng,That's the worst joke I've ever heard.
eng,Tom's just trying to save face.
eng,Speak truth to power.
eng,Tom speaks truth to power.
eng,Are you as shook up as the most famous singer the world knows?
fra,"Ce que femme veut, Dieu le veut."
fra,"Le temps, je sais ce que c'est… jusqu'à ce qu'on me le demande."
fra,Takfarinas a allumé Bougie.
eng,King David is my favorite queer Jewish poet.
fra,Attention ! Les portes vont se fermer !
fra,"La pie niche haut, l'oie niche bas."
fra,La coupe est pleine !
fra,Mener les poules pisser et les ramener sans boire !
fra,Le comble d'un dentiste est d'extraire des racines carrées.
fra,L'âne au lac a bu l'eau.
fra,La pie niche haut. L'oie niche bas.
eng,Hope you're well.
eng,Everybody's a critic.
eng,"Why punch Nazis? ""Because I love peace."""
fra,Encore eût-il fallu que vous le sussiez !
eng,In popular culture the phrase “Allahu akbar” has become almost synonymous with terrorism.
eng,Our enemies will vanish like dew in the sun.
eng,It's not fair to deny me of the cross-eyed bear that you gave to me.
eng,Who's a good kitty?
eng,You're a good kitty.
eng,You're a very good kitty.
eng,I honestly think vegan sausages have far better mouthfeel than the regular kind.
fra,Il a lâché la proie pour l'ombre.
eng,Many people will add Kabyle in their profile; that's what they work for!
eng,David and Jonathan knew each other biblically.
eng,A volleyball player must be a good smasher.
spa,El agua viva es un agua que fluye como la de un río.
spa,Estos tonos son azulados.
spa,¡Me marcharé la semana que viene!
spa,¡Me iré la próxima semana!
fra,Je partirai la semaine prochaine !
eng,I will leave next week!
spa,No podemos vivir sin amar.
spa,No se puede vivir sin amar.
spa,No se puede vivir sin dormir.
spa,No puedes vivir sin mí.
eng,Tom loves to shitpost in his spare time.
eng,Is that a shitpost?
fra,"Poison, quand tu nous tiens !"
fra,Attends de vieillir pour farfouiller dans les boutons !
fra,Ça ne sert à rien de farfouiller : il faut y aller !
fra,C'est toujours quand on n'a pas son parapluie qu'il se met à pleuvoir.
fra,Il est vain de cueillir des figues avant qu'elles ne soient mûres.
fra,Nous vivons dans un monde magnifique.
fra,Nous vivons une belle époque.
fra,"A moissonner ne t'aventure, que la récolte ne soit mûre."
fra,Elle est mal élevée : elle n'arrête pas de radoter.
fra,"Plus on vieillit, plus on entend dire des choses."
fra,"Ah, lui ? ce n'est qu'un fanfaron !"
fra,Qui aurait pu se douter qu'on y arriverait ?
eng,Who would have thought that we would make it?
fra,Écoutez voir !
eng,There are a lot of police cruisers parked outside the doughnut shop.
eng,Why do cops love doughnuts?
eng,Tom really likes ladybirds.
fra,Il n'y a aucune échappatoire.
fra,C'est comme si on attendait la fée.
fra,Personne n'aime personne !
fra,Personne n'a pitié de personne.
fra,Ça ne m'arrange pas.
fra,Il a attrapé une indigestion en abusant de figues fraîches et de figues de Barbarie.
fra,Le micocoulier donne des micocoules sucrés.
fra,Les kabyles gardent encore des plats en bois de micocoulier.
fra,Rien ne sert de fulminer ; s'indigner suffirait.
fra,C'est inéluctable : nous avons oublié nos légendes ; nous les vivons en direct.
fra,Pourquoi fulminer : ça ne nous fait que ruminer !
fra,Pourquoi fulminer : ça ne fait que nous faire gaspiller notre énergie !
fra,J'ai fait un rêve qui pourrait faire pleurer une pierre !
eng,What would the Flying Spaghetti Monster do?
fra,Écarte-toi des lieux où on parle trop fort ou trop bas.
fra,"Si haut que l'on soit assis, on n'est jamais que sur son derrière."
fra,"Qu'il pleuve ou qu'il vente, j'irai au champ !"
fra,"Qu'il fasse la tête ou pas, il n'aura rien d'autre !"
eng,Tom saw a leaf with many aphids on it.
eng,The show was pants.
eng,Tom's feeling a little peckish.
eng,Tom is a twat.
eng,Tom is a right proper lad.
eng,"You know nothing, Tom Jackson."
eng,A Jackson always pays his debts.
eng,Tom was arrested for driving while intoxicated.
eng,"Don't even think about driving while intoxicated, Tom."
eng,Mary's common-law husband was arrested for driving while intoxicated.
eng,Mary was arrested after the bachelorette party for driving while intoxicated.
eng,The angry young man is now public enemy number one.
eng,"Tom is an angry young man, but he has a soft spot for ferrets."
eng,Tom is upset that he can't receive physician-assisted suicide for being an angry young man.
eng,Tom is a prescription drug wholesaler.
eng,Tom is a wholesaler of toys for ferrets.
eng,Tom quit his job as a sanitation worker to become a prescription drug wholesaler.
eng,"If you can move mountains, you can move molehills."
fra,"Le nom de la ville algérienne Tipaza vient de tafza, grès rouge."
eng,North Koreans are really good at drawing lines because they have a Supreme Ruler.
eng,Mary is smarter than Tom.
eng,"You always say you're going to move to Canada, Tom."
eng,Austria is the land of kangaroos.
eng,The best known Austrian marsupials are kangaroos and koalas.
eng,Welcome to Austria. Please don't feed the kangaroos.
eng,I'm having uncomfortable thoughts about you.
eng,I'm having uncomfortable thoughts about Tom.
fra,Mon cœur ne se résout pas à t'oublier.
fra,Il est vrai que nous avons l'art de rater des occasions.
fra,Ces masures-là ne sont ni habitées ni habitables.
fra,"Qui veut voyager loin, ménage sa monture."
fra,"Heureux qui, comme Ulysse, a fait un beau voyage !"
fra,"Il jura, mais un peu tard, qu'on ne l'y prendrait plus!"
eng,The nocebo effect is the opposite of the placebo effect.
eng,Is it legal to hunt kangaroos in Austria?
eng,Tom is being mean.
eng,Some infinities are bigger than other infinities.
fra,"Tu n'as qu'à l'aimer dès maintenant, pour que tu sois payé de retour."
fra,Les goûts et les couleurs ne se discutent pas.
fra,Un énorme taureau fonça sur lui.
fra,"Va pour la diarrhée du choléra, c'est pitoyable. Mais la diarrhée verbeuse ..."
eng,"I'm not sure I like the damask wallpaper, Tom."
eng,"I'm loving the damask, Mary."
fra,"Attention, s'il vous plaît ! Les portes vont se fermer !"
fra,"A deux, chacun avec ses atouts, vous êtes imbattables."
fra,"Sois fou, sinon tu vas devenir dingue!"
eng,Fuck the system.
eng,"Tom is uncomfortable with the word ""queer"" and prefers ""LGBT."""
fra,La faim lui a noué les intestins.
fra,La faim lui a noué l'estomac.
fra,La faim l'a tenaillé.
fra,Laisse le tison s'attiser !
eng,Tom went to Austria to study koalas in their natural environment.
eng,Tom was diagnosed with ASD.
eng,"Tom went to Austria, but he didn't see any kangaroos."
eng,Do you want to cuddle a koala? Come to Austria!
eng,Tom is a caregiver of a special needs child.
eng,"Tom is severely autistic, but verbal."
eng,Tom has ASD and ADHD.
eng,Tom was diagnosed with ASD when he was three.
eng,"Tom is 13, but he still believes in Santa."
eng,Tom is seeking an ASD diagnosis for his son.
eng,Tom was diagnosed with Asperger syndrome.
eng,When Tom went to primary school he was assigned a learning support assistant.
eng,Tom is hyperlexic.
eng,Tom was diagnosed with autism and severe depression.
eng,How common is it to see kangaroos and koalas in Austria?
fra,Celui qui ne sait pas d'où il vient ne peut espérer savoir où il va.
eng,Tom doesn't really like Sami.
eng,The United States is Canada's evil twin.
eng,Mary is seething with rage she feels unable to express.
eng,Tom loves zoos.
eng,Mary's cat Felicia had a litter of kittens.
eng,Mary's dog Fiona had a litter of puppies.
eng,Tom's dog Fido bit Mary.
eng,"Tom's cat Felix scratched him, drawing blood."
eng,"If everyone likes you, you're doing it wrong."
eng,Tom lives in a retirement community.
eng,Tom visited Mary at her retirement community.
eng,Tom and Mary moved into a retirement community.
eng,The voice in Tom's head narrates his life.
eng,The voice in Tom's head narrates his life using sentences from Tatoeba.
eng,Live life as it comes.
eng,"You are broke, man!"
eng,Stop daydreaming and come down from your tree!
eng,You make me feel dizzy!
eng,"Do you believe him? ""Not really!"""
eng,"Is it true? ""I think so!"""
eng,Tom is annoyingly optimistic.
eng,Tom has a punchable face.
eng,You don't need religion to have morals.
eng,Mary married Layla.
eng,Tom married Sami.
eng,"In spite of everything, Tom is happy."
eng,Tom and Sami decided to get divorced.
eng,Mary and Layla decided to get divorced.
eng,Tom and Sami's marriage didn't last very long.
eng,I wish Donald Trump were dead instead of the eight people killed today in Pittsburgh.
eng,Benjamin Netanyahu is a great enemy of the Jewish people.
eng,Fido's a weird name for a cat.
eng,"I'm playing the world's smallest violin, Tom."
eng,Tom doesn't want to go to his company's Christmas do this year.
eng,Anne Frank wasn't a citizen.
eng,Tom is a normie.
eng,"I went to Austria, but I didn't see any kangaroos."
eng,Tom has two siblings.
eng,"The kangaroo is a symbol of Austria, isn't it?"
eng,"Tom really wanted to visit Australia, so he booked a flight to Vienna."
eng,A lot of people confuse Slovakia and Slovenia.
eng,Tom is a well-known shitposter.
eng,There has never been monoculturalism without oppression.
eng,It's raining cats and dogs!
fra,Il neige à gogo !
fra,Il neige à flocons !
eng,"You do too much K, Tom."
eng,"Call me Ishmael, Tom."
eng,Tom is dead to me.
eng,Tom is dead to us.
eng,The United States uses tear gas on toddlers whose parents legally seek asylum.
eng,It is difficult to separate the wheat from the chaff.
eng,The chaff must be removed from the good wheat.
eng,"What we say, goes."
eng,George H. W. Bush took way too long to die.
eng,George H. W. Bush didn't die soon enough.
eng,George H. W. Bush had no respect for the dead whatsoever.
fra,Il aura passé l'arme à gauche d'ici tout à l'heure.
eng,She will find her husband.
eng,Tom's uncle is always going off on incoherent rants about participation trophies.
eng,Tom would be alive today if he hadn't died.
eng,Tom is nice as pie.
eng,You saw yourself in the mirror.
eng,Christmas? Never heard of it.
eng,Make sure the guillotine is in working condition.
eng,I wish you weren't such a fucking dick.
eng,"Humans are involved in mutualisms with other species, too."
eng,Of course they're fascists.
eng,Enough blather; get to the point.
eng,Tom blathered on and on.
eng,Tom blathered on about God and the Bible.
eng,I'd rather get a root canal than listen to this blather.
eng,I'm fed up with Tom's incessant blathering.
eng,Lindsey Graham is being blackmailed.
eng,This manual is written in double Dutch.
eng,"It was the biggest defeat in government history, according to the BBC."
eng,Dominic Grieve has tabled a motion for a second referendum.
eng,Tom said he had a fuckload of homework to do.
eng,I'm addicted to drugs.
eng,Tom has an irrational fear of socialized medicine.
eng,Tom only likes socialized medicine when he needs it.
eng,Tom advocates socialized medicine.
eng,Tom claims he doesn't know anything. Do you buy it?
eng,Tom localizes smartphone apps for a major developer.
eng,Tom's activism didn't seem to have any identifiable effect.
eng,Antifascists often mask their faces to make themselves less identifiable to the police.
eng,The amendment is still pending ratification.
eng,English is often not pronounced in a phonological way.
eng,Were you trying to play footsy with me?
eng,It feels good to come to the aid of somebody.
eng,Tom hoped the initiation ceremony would be over soon.
eng,The stopping distance for an average car travelling 80km/h is 53m.
eng,My friend kept nudging me to tell me something.
eng,"I am revoking my permission to play on my iPad, Tom."
eng,Our manufacturing plant uses precision instruments to make the best quality products.
eng,"When squeezed, Tom's spot secreted pus."
eng,"If we don't restructure our business, we're going to go under."
eng,Tom pulled Mary's hair so hard that it came out complete with follicles.
eng,The clouds thickened and it started to precipitate.
eng,The secretion from Tom's wound was a horrible green color.
eng,"Tom wanted to join a fraternity at university, but was scared of the initiation ceremony."
eng,"After the prisoners escaped, the police set about recapturing them."
eng,We lost this cricket match because of a few careless fumbles of the ball.
eng,Tom's been caught on camera fly-tipping.
eng,Does Mao meow?
eng,Tom picked up English in no time.
eng,Tom is a completely different person in Esperanto.
eng,I can't believe how big this little kitten has gotten!
eng,"In common usage, ""economic freedom"" often refers to unfettered economic exploitation."
eng,I haven't seen a straight person in over a week.
eng,"The cat acts like he's starving, when he's got a bowl full of dry food!"
eng,Tom and Mary keep going out to the car to do lines of blow.
eng,"Even if that were true, why would it matter?"
eng,"Even if that were true, what difference would it make?"
eng,"Even if you're right, who cares?"
eng,"Even if you're right, what's the difference?"
eng,"Even if that's true, what's the difference?"
eng,"Even if that's true, who cares?"
eng,Let's assume you're right. So what?
eng,When was the Second Temple destroyed?
eng,The Second Jewish Temple was destroyed in 70 CE.
eng,The Byzantines massacred most of the Jewish population of Palestine.
eng,Why couldn't we survive on Mars?
eng,What is the largest prime number smaller than a googolplex?
eng,"God bless America, or it'll invade Heaven."
eng,Tom took his ball and went home.
eng,Tom is a furry.
eng,It's Sarah's apple.
eng,I gave Sarah the apple.
eng,We gave Sarah the apple.
eng,Aaron gave it to Sarah.
eng,Sarah gave it to Aaron.
eng,Sarah's going to give it to Aaron.
eng,I have to give it to Aaron.
eng,I didn't give Sarah the apple.
eng,I want to give it to Aaron.
eng,"I didn't know you were a furry, Tom."
eng,Ilhan Omar is one of the few politicians with courage in the United States.
eng,Ilhan Omar was right.
eng,"Ilhan Omar didn't say anything antisemitic, but is being punished for criticizing Israel."
eng,A specter is haunting Europe — the specter of communism.
eng,Communism is already acknowledged by all European powers to be in itself a power.
eng,Two things result from this fact.
eng,Tom was suddenly overcome with a deep despair.
eng,Yankev can't follow the play because Beyle keeps getting up.
eng,Yankev is Hasidic.
eng,Yankev is a Hasid.
eng,Yankev is a secular Jew.
eng,Yankev has family in Bialystok.
eng,Yankev's uncle Borekh lives in Bialystok.
eng,Beyle's aunt Sheyne lives in Bialystok.
eng,Yankev and Sheyne live in Bialystok.
eng,Sheyne is Yankev's daughter.
eng,Sheyne is Yankev's sister.
eng,Yankev is Sheyne's brother.
eng,Yankev is Sheyne's son.
eng,Yankev and Sheyne are married.
eng,Yankev and Sheyne are friends.
eng,Yankev and Sheyne just met.
eng,Beyle wishes lobbyists would stop speaking for her.
eng,Beyle feels helpless.
